,STATIONS_ID,MESS_DATUM,QN_8,  R1,RS_IND,WRTR,eor
1867,3379,1997092707,1,0.0,0,-999,eor
1868,3379,1997092708,1,0.0,0,-999,eor
1869,3379,1997092709,1,0.0,0,-999,eor
1870,3379,1997092710,1,0.0,0,-999,eor
1871,3379,1997092711,1,0.0,0,-999,eor
1872,3379,1997092712,1,0.0,0,-999,eor
1873,3379,1997092713,1,0.0,0,-999,eor
1874,3379,1997092714,1,0.0,0,-999,eor
1875,3379,1997092715,1,0.0,0,-999,eor
1876,3379,1997092716,1,0.0,0,-999,eor
1877,3379,1997092717,1,0.0,0,-999,eor
1878,3379,1997092718,1,0.0,0,-999,eor
1879,3379,1997092719,1,0.0,0,-999,eor
1880,3379,1997092720,1,0.0,0,-999,eor
1881,3379,1997092721,1,0.0,0,-999,eor
1882,3379,1997092722,1,0.0,0,-999,eor
1883,3379,1997092723,1,0.0,0,-999,eor
1884,3379,1997092800,1,0.0,0,-999,eor
1885,3379,1997092801,1,0.0,0,-999,eor
1886,3379,1997092802,1,0.0,0,-999,eor
1887,3379,1997092803,1,0.0,0,-999,eor
1888,3379,1997092804,1,0.0,0,-999,eor
1889,3379,1997092805,1,0.0,0,-999,eor
1890,3379,1997092806,1,0.0,0,-999,eor
1891,3379,1997092807,1,0.0,0,-999,eor
1892,3379,1997092808,1,0.0,0,-999,eor
1893,3379,1997092809,1,0.0,0,-999,eor
1894,3379,1997092810,1,0.0,0,-999,eor
1895,3379,1997092811,1,0.0,0,-999,eor
1896,3379,1997092812,1,0.0,0,-999,eor
1897,3379,1997092813,1,0.0,0,-999,eor
1898,3379,1997092814,1,0.0,0,-999,eor
1899,3379,1997092815,1,0.0,0,-999,eor
1900,3379,1997092816,1,0.0,0,-999,eor
1901,3379,1997092817,1,0.0,0,-999,eor
1902,3379,1997092818,1,0.0,0,-999,eor
1903,3379,1997092819,1,0.0,0,-999,eor
1904,3379,1997092820,1,0.0,0,-999,eor
1905,3379,1997092821,1,0.0,0,-999,eor
1906,3379,1997092822,1,0.0,0,-999,eor
1907,3379,1997092823,1,0.0,0,-999,eor
1908,3379,1997092900,1,0.0,0,-999,eor
1909,3379,1997092901,1,0.0,0,-999,eor
1910,3379,1997092902,1,0.0,0,-999,eor
1911,3379,1997092903,1,0.0,0,-999,eor
1912,3379,1997092904,1,0.0,0,-999,eor
1913,3379,1997092905,1,0.0,0,-999,eor
1914,3379,1997092906,1,0.0,0,-999,eor
1915,3379,1997092907,1,0.0,0,-999,eor
1916,3379,1997092908,1,0.0,0,-999,eor
1917,3379,1997092910,1,0.0,0,-999,eor
1918,3379,1997092911,1,0.0,0,-999,eor
1919,3379,1997092912,1,0.0,0,-999,eor
1920,3379,1997092913,1,0.0,0,-999,eor
1921,3379,1997092914,1,0.0,0,-999,eor
1922,3379,1997092915,1,0.0,0,-999,eor
1923,3379,1997092916,1,0.0,0,-999,eor
1924,3379,1997092917,1,0.0,0,-999,eor
1925,3379,1997092918,1,0.0,0,-999,eor
1926,3379,1997092919,1,0.0,0,-999,eor
1927,3379,1997092920,1,0.0,0,-999,eor
1928,3379,1997092921,1,0.0,0,-999,eor
1929,3379,1997092922,1,0.0,0,-999,eor
1930,3379,1997092923,1,0.0,0,-999,eor
1931,3379,1997093000,1,0.0,0,-999,eor
1932,3379,1997093001,1,0.0,0,-999,eor
1933,3379,1997093002,1,0.0,0,-999,eor
1934,3379,1997093003,1,0.0,0,-999,eor
1935,3379,1997093004,1,0.0,0,-999,eor
1936,3379,1997093005,1,0.0,0,-999,eor
1937,3379,1997093006,1,0.0,0,-999,eor
1938,3379,1997093007,1,0.0,0,-999,eor
1939,3379,1997093008,1,0.0,0,-999,eor
1940,3379,1997093009,1,0.0,1,-999,eor
1941,3379,1997093010,1,0.0,1,-999,eor
1942,3379,1997093011,1,0.0,0,-999,eor
1943,3379,1997093012,1,0.0,0,-999,eor
1944,3379,1997093013,1,0.0,0,-999,eor
1945,3379,1997093014,1,0.0,0,-999,eor
1946,3379,1997093015,1,0.0,0,-999,eor
1947,3379,1997093016,1,0.0,0,-999,eor
1948,3379,1997093017,1,0.0,0,-999,eor
1949,3379,1997093018,1,0.0,0,-999,eor
1950,3379,1997093019,1,0.0,0,-999,eor
1951,3379,1997093020,1,0.1,1,-999,eor
1952,3379,1997093021,1,0.0,1,-999,eor
1953,3379,1997093022,1,0.0,0,-999,eor
1954,3379,1997093023,1,0.0,1,-999,eor
1955,3379,1997100100,1,0.0,1,-999,eor
1956,3379,1997100101,1,0.0,1,-999,eor
1957,3379,1997100102,1,0.0,0,-999,eor
1958,3379,1997100103,1,0.0,0,-999,eor
1959,3379,1997100104,1,0.0,0,-999,eor
1960,3379,1997100105,1,0.0,0,-999,eor
1961,3379,1997100106,1,0.0,1,-999,eor
1962,3379,1997100107,1,0.0,1,-999,eor
1963,3379,1997100108,1,0.0,1,-999,eor
1964,3379,1997100109,1,0.0,1,-999,eor
1965,3379,1997100110,1,0.8,1,-999,eor
1966,3379,1997100111,1,0.7,1,-999,eor
1967,3379,1997100112,1,1.6,1,-999,eor
1968,3379,1997100113,1,0.8,1,-999,eor
1969,3379,1997100114,1,0.6,1,-999,eor
1970,3379,1997100115,1,4.0,1,-999,eor
1971,3379,1997100116,1,1.1,1,-999,eor
1972,3379,1997100117,1,0.4,1,-999,eor
1973,3379,1997100118,1,0.3,1,-999,eor
1974,3379,1997100119,1,0.0,1,-999,eor
1975,3379,1997100120,1,0.0,0,-999,eor
1976,3379,1997100121,1,0.0,0,-999,eor
1977,3379,1997100122,1,0.0,0,-999,eor
1978,3379,1997100123,1,0.0,0,-999,eor
1979,3379,1997100200,1,0.0,0,-999,eor
1980,3379,1997100201,1,0.0,0,-999,eor
1981,3379,1997100202,1,0.0,0,-999,eor
1982,3379,1997100203,1,0.0,0,-999,eor
1983,3379,1997100204,1,0.0,0,-999,eor
1984,3379,1997100205,1,0.0,0,-999,eor
1985,3379,1997100206,1,0.0,0,-999,eor
1986,3379,1997100207,1,0.0,0,-999,eor
1987,3379,1997100208,1,0.0,0,-999,eor
1988,3379,1997100209,1,0.0,0,-999,eor
1989,3379,1997100210,1,0.0,1,-999,eor
1990,3379,1997100211,1,0.0,1,-999,eor
1991,3379,1997100212,1,1.6,1,-999,eor
1992,3379,1997100213,1,0.0,1,-999,eor
1993,3379,1997100214,1,0.0,1,-999,eor
1994,3379,1997100215,1,0.2,1,-999,eor
1995,3379,1997100216,1,0.5,1,-999,eor
1996,3379,1997100217,1,0.0,0,-999,eor
1997,3379,1997100218,1,0.0,0,-999,eor
1998,3379,1997100219,1,0.0,0,-999,eor
1999,3379,1997100220,1,0.0,0,-999,eor
2000,3379,1997100221,1,0.0,0,-999,eor
2001,3379,1997100222,1,0.0,0,-999,eor
2002,3379,1997100223,1,0.0,0,-999,eor
2003,3379,1997100300,1,0.0,1,-999,eor
2004,3379,1997100301,1,0.0,1,-999,eor
2005,3379,1997100302,1,0.1,1,-999,eor
2006,3379,1997100303,1,0.1,1,-999,eor
2007,3379,1997100304,1,0.0,1,-999,eor
2008,3379,1997100305,1,0.0,1,-999,eor
2009,3379,1997100306,1,0.0,0,-999,eor
2010,3379,1997100307,1,0.0,0,-999,eor
2011,3379,1997100308,1,0.0,0,-999,eor
2012,3379,1997100309,1,0.0,0,-999,eor
2013,3379,1997100310,1,0.0,0,-999,eor
2014,3379,1997100311,1,0.0,0,-999,eor
2015,3379,1997100312,1,0.0,0,-999,eor
2016,3379,1997100313,1,0.0,0,-999,eor
2017,3379,1997100314,1,0.0,0,-999,eor
2018,3379,1997100315,1,0.0,0,-999,eor
2019,3379,1997100316,1,0.0,0,-999,eor
2020,3379,1997100317,1,0.0,0,-999,eor
2021,3379,1997100318,1,0.0,0,-999,eor
2022,3379,1997100319,1,0.0,0,-999,eor
2023,3379,1997100320,1,0.0,0,-999,eor
2024,3379,1997100321,1,0.0,0,-999,eor
2025,3379,1997100322,1,0.0,0,-999,eor
2026,3379,1997100323,1,0.0,0,-999,eor
2027,3379,1997100400,1,0.0,0,-999,eor
2028,3379,1997100401,1,0.0,0,-999,eor
2029,3379,1997100402,1,0.0,0,-999,eor
