GENESIS-Tabelle: 45511-002
Tourismus: Gemeinden, Übernachtungen, Ankünfte,;;;;;;;
 Herkunft;;;;;;;
der Gäste, Monat, Jahr (ab 2006);;;;;;;
Monatserhebung im Tourismus;;;;;;;
2016;;;;;;;
Monate: Februar;;;;;;;
;;Insgesamt;Insgesamt;Inland;Inland;Ausland;Ausland
;;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen;Gästeankünfte;Gästeübernachtungen
;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
09177123;      Isen, M;.;.;.;.;.;.
09177124;      Kirchberg;-;-;-;-;-;-
09177126;      Langenpreising;.;.;.;.;.;.
09177127;      Lengdorf;-;-;-;-;-;-
09177130;      Moosinning;862;1919;562;1390;300;529
09177131;      Neuching;235;599;216;549;19;50
09177133;      Oberding;25880;35241;11107;16767;14773;18474
09177134;      Ottenhofen;-;-;-;-;-;-
09177135;      Pastetten;-;-;-;-;-;-
09177137;      Sankt Wolfgang;520;1678;495;1393;25;285
09177138;      Steinkirchen;-;-;-;-;-;-
09177139;      Taufkirchen (Vils);.;.;.;.;.;.
09177142;      Walpertskirchen;.;.;.;.;.;.
09177143;      Wartenberg, M;929;1372;558;980;371;392
09177144;      Wörth;-;-;-;-;-;-
09178;    Freising (Lkr);42574;62726;26154;41547;16420;21179
09178113;      Allershausen;1960;3087;1162;2223;798;864
09178115;      Attenkirchen;.;.;.;.;.;.
09178116;      Au i.d.Hallertau, M;.;.;.;.;.;.
09178120;      Eching;2573;4129;1609;2709;964;1420
09178122;      Rudelzhausen;-;-;-;-;-;-
09178123;      Fahrenzhausen;.;.;.;.;.;.
09178124;      Freising, GKSt;19730;27971;9811;15788;9919;12183
09178125;      Gammelsdorf;-;-;-;-;-;-
09178129;      Haag a.d.Amper;.;.;.;.;.;.
09178130;      Hallbergmoos;8765;12307;5726;8062;3039;4245
09178132;      Hörgertshausen;-;-;-;-;-;-
09178133;      Hohenkammer;1539;2334;1507;2245;32;89
09178136;      Kirchdorf a.d.Amper;-;-;-;-;-;-
09178137;      Kranzberg;1016;1850;849;1656;167;194
09178138;      Langenbach;.;.;.;.;.;.
09178140;      Marzling;.;.;.;.;.;.
09178142;      Mauern;-;-;-;-;-;-
09178143;      Moosburg a.d.Isar, St;510;1473;461;1278;49;195
09178144;      Nandlstadt, M;-;-;-;-;-;-
09178145;      Neufahrn b.Freising;3636;5057;2944;3966;692;1091
09178150;      Paunzhausen;-;-;-;-;-;-
09178155;      Wang;.;.;.;.;.;.
09178156;      Wolfersdorf;-;-;-;-;-;-
09178157;      Zolling;108;252;108;252;-;-
09179;    Fürstenfeldbruck (Lkr);8440;16901;7154;13999;1286;2902
09179111;      Adelshofen;-;-;-;-;-;-
09179113;      Alling;.;.;.;.;.;.
09179114;      Althegnenberg;-;-;-;-;-;-
09179117;      Egenhofen;-;-;-;-;-;-
09179118;      Eichenau;.;.;.;.;.;.
09179119;      Emmering;354;830;329;776;25;54
09179121;      Fürstenfeldbruck, GKSt;2119;3830;1782;3183;337;647
09179123;      Germering, GKSt;1895;3591;1613;2829;282;762
09179125;      Grafrath;-;-;-;-;-;-
09179126;      Gröbenzell;214;1264;189;1071;25;193
09179128;      Hattenhofen;.;.;.;.;.;.
09179130;      Jesenwang;.;.;.;.;.;.
09179131;      Kottgeisering;.;.;.;.;.;.
09179132;      Landsberied;-;-;-;-;-;-
09179134;      Maisach;.;.;.;.;.;.
09179136;      Mammendorf;.;.;.;.;.;.
09179137;      Mittelstetten;-;-;-;-;-;-
09179138;      Moorenweis;.;.;.;.;.;.
09179140;      Oberschweinbach;-;-;-;-;-;-
09179142;      Olching, St;.;.;.;.;.;.
09179145;      Puchheim, St;1785;3354;1461;2636;324;718
09179147;      Schöngeising;-;-;-;-;-;-
09179149;      Türkenfeld;.;.;.;.;.;.
09180;    Garmisch-Partenkirchen (Lkr);73262;256430;57281;203537;15981;52893
09180112;      Bad Kohlgrub;2417;7064;1504;5703;913;1361
09180113;      Bad Bayersoien;1060;3543;1013;3408;47;135
09180114;      Eschenlohe;235;367;181;310;54;57
09180115;      Ettal;3372;6909;1955;5039;1417;1870
09180116;      Farchant;1298;4843;1084;4058;214;785
09180117;      Garmisch-Partenkirchen, M;32756;98678;24864;72046;7892;26632
09180118;      Grainau;10861;39626;9137;32737;1724;6889
09180119;      Großweil;.;.;.;.;.;.
